name,organization,image_url
Hayat AARAB,At Honeywell,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/b5f12326-acc2-ef11-a8d5-005056ac7c95/Photo/1738053744/r/100/100/PICTURE-PHOTOPROFILEJAN25_REDUCED.png?DsCode=V3EVT&OExt=jpg
Daniel Abbou,At KI-Bundesverband e.V.,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/13760701-acc2-ef11-a8d5-005056ac7c95/Photo/1736952673/r/100/100/danielabboupic.png?DsCode=V3EVT&OExt=jpg
Robert ÅBERG,At Sigma Technology Insight Solutions AB,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/17760701-acc2-ef11-a8d5-005056ac7c95/Photo/1736347326/r/100/100/newprofilbild.png?DsCode=V3EVT&OExt=jpg
Olasupo Abideen Opeyemi,At Brain builders youth development initiative,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/b3a38e10-c8db-ef11-a8d5-005056ac7c95/Photo/1737990814/r/100/100/HEADSHOTFORABIDEEN11.png?DsCode=V3EVT&OExt=jpg
Elizabeth Acuña Bozo,At SAFETYMIND SPA,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/b7dba8f1-97cd-ef11-a8d5-005056ac7c95/Photo/1738344320/r/100/100/Sintitulo40x60px1.png?DsCode=V3EVT
Rachel ADAMS,At Global center on ai governance,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/be7b6110-2dcf-ef11-a8d5-005056ac7c95/Photo/1737633754/r/100/100/Screenshot2025-01-23at140213.png?DsCode=V3EVT
Kossi Franck Junior Adenyo,At Communauté togolaise d'intelligence artificielle,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/7a890454-33cf-ef11-a8d5-005056ac7c95/Photo/1737180099/r/100/100/IMG_20250118_065616.png?DsCode=V3EVT&OExt=jpg
Kossi Mawouena Samuel Afola,"At African institute for mathematical sciences (aims - ghana), communauté togolaise de l'intelligence artificielle (cotia)",https:/Ds/Gaia_POOL_PROD_1_meae/Individu/7c890454-33cf-ef11-a8d5-005056ac7c95/Photo/1736665173/r/100/100/Photo_Passport_AFOLA_Kossi.png?DsCode=V3EVT&OExt=jpg
Gaurav AGGARWAL,At Ispirt / reliance,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/5040cf77-a9e3-ef11-a8d5-005056ac7c95/Photo/1738759013/r/100/100/1674203005800.png?DsCode=V3EVT&OExt=jpg
Blaise Aguera,At Google,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/bfa38e10-c8db-ef11-a8d5-005056ac7c95/Photo/1738115158/r/100/100/Blaise24-8396.png?DsCode=V3EVT&OExt=jpg
Deirdre Ahern,"At AI Advisory Council, Ireland",https:/Ds/Gaia_POOL_PROD_1_meae/Individu/4b760701-acc2-ef11-a8d5-005056ac7c95/Photo/1736359869/r/100/100/deirdre-ahern_ria_picture.png?DsCode=V3EVT&OExt=jpg
Mhairi Aitken,At The alan turing institute,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/49aa559c-2ddf-ef11-a8d5-005056ac7c95/Photo/1738315633/r/100/100/profilephoto.png?DsCode=V3EVT&OExt=jpg
Abdullah AL GHAMDI,At Saudi data and ai authority,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/bdab7763-e0d7-ef11-a8d5-005056ac7c95/Photo/1737906836/r/100/100/8108c33d-cbd2-4aff-8853-a087a577483b.png?DsCode=V3EVT&OExt=jpg
Abdul Wahab Al Mutawa,At Fidelity General Trading & Contracting W.L.L. ( Tasleeh ),https:/Ds/Gaia_POOL_PROD_1_meae/Individu/dadba8f1-97cd-ef11-a8d5-005056ac7c95/Photo/1737685394/r/100/100/4225ff78-452e-47e4-8507-ec941d6ca013.png?DsCode=V3EVT&OExt=jpg
Karteek Alahari,At Inria,https:/Ds/Gaia_POOL_PROD_1_meae/Individu/7e890454-33cf-ef11-a8d5-005056ac7c95/Photo/1736503826/r/100/100/photo-portrait-2024.png?DsCode=V3EVT
