,TITLE,PARTNER COUNTRY,,ADDITIONAL COUNTRY,SHORT DESCRIPTION                                                                   (max. 300 words),Very briefly (max. 50 words) explain here if/how is the case relevant to Accessibility,Very briefly (max. 50 words) explain here if/how is the case relevant to Inclusivity,Very briefly (max. 50 words) explain here if/how is the case relevant to Environmental measures,Very briefly (max. 50 words) explain here if/how is the case relevant to                               SDGs,Very briefly (max. 50 words) explain here if/how is the case relevant to                     Efficient applications in HE,"RELEVANT SOURCES                 (e.g. website, bibliographical reference, etc.)"
1,Prosperity4All  – EU Horizon 2020 Project ,Greece,,,University of the Aegean: This EU-funded Horizon 2020 project aimed to create a global ecosystem for accessibility solutions. ,,The project emphasized inclusive design in ICT,,"Quality education (SDG 4), Reduced inequalities (SDG 10)","The University of the Aegean contributed to developing AI-driven tools for personalized accessibility, such as adaptive interfaces for people with disabilities. ",https://cordis.europa.eu/project/id/610510
2,SignON – EU Horizon 2020 Project ,Greece,,"Spain, Ireland, Netherlands","While primarily focused on Irish, Dutch, and Spanish sign languages, Greek institutions like the Institute for Language and Speech Processing (ILSP) at the Athena Research Center contributed expertise in natural language processing (NLP) and machine translation.",Accessible for individuals with hearing problems ,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",The project’s framework could inspire similar tools for Greek Sign Language (GSL). ,https://signon-project.eu/
3,Greek Sign Language Synthesis – University of Patras  ,Greece,,,Researchers at the University of Patras developed an AI-based system to synthesize Greek Sign Language (GSL) animations from written Greek text. This tool aids communication for the deaf community by converting text into animated avatars performing GSL.,Accessible for individuals with hearing problems ,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://link.springer.com/chapter/10.1007/978-3-030-49108-6_18
4,AI for Refugee Integration – METAdrasi  ,Greece,,,"Greek NGO METAdrasi, in collaboration with tech partners, uses AI-driven translation tools to break language barriers for refugees and migrants. Projects include real-time multilingual chatbots and language-learning apps to support integration.  ",,Refugee support,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://metadrasi.org/en/
5,Accessible Tourism Initiatives – GNTO Collaboration  ,Greece,,,"The Greek National Tourism Organization (GNTO) promotes AI-driven platforms like ""Accessible Greece,"" which uses machine learning to map wheelchair-friendly routes, recommend accessible accommodations, and provide real-time info for tourists with disabilities.",Acessibility for individuals with physical impairment,Disabled tourists,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://www.accessiblegreece.com/
6,Easy Reading – Inclusive Digital Environments  ,Greece,,,"Greece participated in this EU project to create AI-powered tools for people with cognitive disabilities. The project included text simplification, symbol-based communication, and adaptive interfaces, with contributions from Greek NGOs and universities.",People with cognitive diabilities,,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://www.easyreading.eu/
7,AI-Powered Assistive Robotics – National Technical University of Athens (NTUA)  ,Greece,,,"NTUA’s Control Systems Lab researches AI-driven assistive robots for mobility and daily task support, targeting elderly individuals and people with motor disabilities. Projects include smart wheelchairs and robotic arms.  ",Acessibility for individuals with physical impairment,,,"Good health and well-being (SDG 3), Quality education (SDG 4), Reduced inequalities (SDG 10), Sustainable cities and communities (SDG 11)",,https://www.csl.ece.ntua.gr/en
8,AI for Inclusive Education – University of Thessaly,Greece,,,The University of Thessaly explores AI tools like automated captioning and personalized learning platforms to support students with hearing impairments or learning disabilities in Greek schools.  ,Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://www.uth.gr/en/research
9,Bulgarian Sign Language Recognition Project,,,Bulgaria,"Researchers at Sofia University are developing AI models to recognize Bulgarian Sign Language (BgSL), aiming to translate gestures into text or speech. ",Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)","This project involves creating a dataset of BgSL gestures and training neural networks for real-time interpretation, enhancing communication for the deaf community.",https://www.uni-sofia.bg/
10,AI-Driven Text-to-Speech for Bulgarian  ,,,Bulgaria,An initiative to improve accessibility for visually impaired individuals by developing advanced AI-powered text-to-speech (TTS) systems tailored for the Bulgarian language..,Accessible for individuals who are visually impaired ,Targets visually impaired individuals ,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",This project involves natural language processing (NLP) to handle Cyrillic script and regional dialects. Collaboration with Bulgarian Union of the Blind.,http://www.uub.bg/
11,Educational AI for Inclusive Learning  ,,,Bulgaria,Plovdiv University explores AI-driven platforms to adapt educational content for students with disabilities. ,,Includes automated transcription services or personalized learning tools for dyslexic students,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://uni-plovdiv.bg/
12,AI-Powered Mobility Navigation in Sofia,,,Bulgaria,"LaunchHub, a startup organises this municipal project that develops an AI app to map wheelchair-accessible routes in Sofia, using computer vision to assess sidewalk conditions or public transport accessibility.",Acessibility for individuals with physical impairment,,,"Good health and well-being (SDG 3), Quality education (SDG 4), Reduced inequalities (SDG 10), Sustainable cities and communities (SDG 11)",,https://launchhub.net/
13,Roma Language Preservation via NLP,,,Bulgaria,"The NGO Open Society Institute in Sofia collaborates with tnhe University of Sofia to preserve and digitize the Romani language, developing translation tools or educational resources to support Roma communities.",,ROMA ,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",Translation and writing in Romani language as well as teaching Romani.,https://osis.bg/
14,Real-Time Captioning for Lectures,,,Bulgaria,"Technical University of Sofia pilots AI systems for automatic speech recognition (ASR) to generate real-time captions during lectures, aiding deaf or hard-of-hearing students.",Accessible for individuals with hearing problems ,Targets individuals with hearing problems,,"Quality education (SDG 4), Reduced inequalities (SDG 10)",,https://www.tu-sofia.bg/
