,TITLE,PARTNER COUNTRY,,ADDITIONAL COUNTRY,SHORT DESCRIPTION                                                                   (max. 300 words),Very briefly (max. 50 words) explain here if/how is the case relevant to Accessibility,Very briefly (max. 50 words) explain here if/how is the case relevant to Inclusivity,Very briefly (max. 50 words) explain here if/how is the case relevant to Environmental measures,Very briefly (max. 50 words) explain here if/how is the case relevant to                               SDGs,Very briefly (max. 50 words) explain here if/how is the case relevant to                     Efficient applications in HE,"RELEVANT SOURCES                 (e.g. website, bibliographical reference, etc.)"
1,Arizona Online-Only Charter School,DE,,USA,"A company named Unbound Academy has received permission to operate an online-only charter school in Arizona, that provides just two hours per day of personalized learning programs in academics from companies like IXL and Khan Academy. No teachers will be involved, as an AI that tracks progress and assignments individually. The intended grades are four to eight. Aditional courses will be held by so called ""guides"" for ""life-skill workshops"". Charter schools are private but funded by government. Many charter schools are operated to remove or add specific topics from the curriculum, mostly for religious reasons. Critics state that Unbound is simply ""AI washing"" their concept to grab a bigger market share by exploting regulations loopholes.",There is a small chance that the concept allows the general public to access a charter school. ,The online-only mode with an personalized AI could adapt to people with special needs.,If the approach really does work the amount of travelling could be reduced.,,,https://danmeyer.substack.com/p/the-truth-about-2-hour-learning-and https://techcrunch.com/2024/12/20/arizonas-getting-an-online-charter-school-taught-entirely-by-ai/
2,Salesforce Agentforce,DE,,USA,"Salesforce Agentforce is the AI component for automating customer support and tracking student experience. Salesforce is a comercial platform for CRM and offers a special platform for educational institutions. This platform documents every contact and tracks the entire education and graduation process, maintains a tight connection to teachers and students and tries to ensure student success. Agentforce ist mostly a chatbot with AI extensions, which is capable to automate typical task like assignments, scheduling and answer student questions. Salesforce is popular for commercial institutions and expensive.",A competent chatbot  can lower the hurdle for students to contact the university. As each interaction might be documented the support quality caould be improved.,"By default AI-driven chatbots deliver a neutral, non-discrimintaing environment an will adjust to serve special needs, without sparking a feeling of guilt for the recipient.",There is no direct positive impact to the environment.,"More documented contacts allow for adjustment in the curriculum, to resolve the most popular support requests and improve the tracks in general.","For commercial institutions the improved contact and feedback handling can improve the service, so reviews will improve. Marketing sees this is as a big win.",https://www.salesforce.com/agentforce/
3,Educause Research Paper: The Future of AI in Higher Education,DE,,USA,Educause is a nonprofit association of educational organisations. They provide a widespread oversight about various topics. This specific resource delivers an outlookover the US higher educational approach to AI through a survey in 2024.,-,-,There is no direct positive impact to the environment.,-,-,https://www.educause.edu/ecar/research-publications/2024/2024-educause-ai-landscape-study/introduction-and-key-findings
4,Texas AI based redesign of the STAAR test,DE,,USA,"The STAAR test, which measures students’ understanding of state-mandated core curriculum, was redesigned in 2023 to include more open-ended questions. These so-called constructed response items take way more time than multiple choice questions when scoring the responses, so a new system has been put into action. An AI will score the results first, giving an confidence interval, and humans will re-score if this intervall is low or students complain. If a human rescoring is demanded by students, these will have to pay a fee of 50$, which is canceled only when the scoring improves by this process.",This test is a baseline scoring test for all pupils and is easy accessible., AI automated scoring can improve equality of the scores. ,There is no direct positive impact to the environment.,-,"The test is decisive for the applicant selection process, so any improvement is relevant.",https://tea.texas.gov/student-assessment/staar https://www.texastribune.org/2024/04/09/staar-artificial-intelligence-computer-grading-texas/
5,An AI generated research paper about plagiarism in HE.,DE,,USA,"Published in ""Cellular and Molecular Bioengineering"", including prompts. It is self-referencing  on a meta and direct level: there is no explicit given conclusion, as the reader can draw this himself.",Changing assignments to avoid usage of AI generators will have high impact on education.,Changing assignments to avoid usage of AI generators will have high impact on education.,There is no direct positive impact to the environment.,Changing assignments to avoid usage of AI generators will have high impact on education.,Changing assignments to avoid usage of AI generators will have high impact on education.,https://link.springer.com/article/10.1007/s12195-022-00754-8
6,Only in America: Gun Detection System,DE,,USA,"Omnilert, a software to detect concealed weapons with help of an AI by monitoring surveilance camera footage, failed to do so.",-,-,There is no direct positive impact to the environment.,-,-,https://futurism.com/the-byte/school-shooting-ai-gun-detection-failure
7,RAISE Initiative - Responsible AI for Social Empowerment and Education,DE,,USA,"The MIT started this initiative to promote inclusive AI literacy and learning. A basic concept is the idea of ""natives"", which assumes that people which grow up with a technology have a better average understandig of this technology as people who had to learn these later in life. The second basic concept is personalised education, so an AI adjusts the content of the course to individual needs. The project delivers a curriculum to teach about AI and helps to create ""AI natives"".",The learning experiences should offer multiple modes of engagement and expression to be accessible to students of diverse cognitive and physical abilities,"Inclusion should be archived through accessibility, equity and adaptability.",There is no direct positive impact to the environment.,-,"Creating ""AI natives"" should imrove overall performance of applicants.",https://raise.mit.edu/research-projects/inclusive-ai-literacy-learning/
8,Only in America: redefining inclusivity,DE,,USA,"The U.S. government starts a ""partnership"" with 8 of the biggest tech companies under a for-global-inclusivity-on-ai label. The companies receive additional funding from the government as subsidies.","Subsidies are directed to few big companies, so accessbility is reduced for the mainstream.",The term inclusivity is redefined to cloak the negative impact - subsidies are exclusive.,There is no direct positive impact to the environment.,A concentration on few actors can be expected to be unsustainable.,None.,state.gov/united-states-and-eight-companies-launch-the-partnership-for-global-inclusivity-on-ai/
9,FSA Aidan,DE,,USA,Aidan is a specific customised chatbot for federal student aid by the US government that helps to aquire and manage the personal federal student loan.,Through simple speech it helps to understand the proceedings.,Through simple speech it helps to understand the proceedings.,-,-,Aidan streamlines the loan application and increases efficency.,https://studentaid.gov/aidan
10,Stanford University's AI4ALL,DE,,USA,AI4ALL is an 2 week commercial online course program for 9th to 10th grade.,-,The program is directed to low income families with financial aid available.,-,-,-,https://hai.stanford.edu/stanford-ai4all
