,TITLE,PARTNER COUNTRY,,ADDITIONAL COUNTRY,SHORT DESCRIPTION                                                                   (max. 300 words),Very briefly (max. 50 words) explain here if/how is the case relevant to Accessibility,Very briefly (max. 50 words) explain here if/how is the case relevant to Inclusivity,Very briefly (max. 50 words) explain here if/how is the case relevant to Environmental measures,Very briefly (max. 50 words) explain here if/how is the case relevant to                               SDGs,Very briefly (max. 50 words) explain here if/how is the case relevant to                     Efficient applications in HE,"RELEVANT SOURCES                 (e.g. website, bibliographical reference, etc.)"
1,Automatische Erkennung von Pflanzenkrankheiten,Germany,,,Software that supports the assessment of mildew infestation on cereal leaves. This data can now also be used to train AI models that can fully automate the task.,/,/,Ai Algorithm used to recognize mildew infestations,/,/,https://ai-engineer.de/wp/hochschule-anhalt-digitale-technologien-in-der-pflanzenproduktion/
2,AI-LSICF,Germany,,,AI-LSICF framework for library services in universities with artificial intelligence for alternative educational services,/,/,/,/,Transforming library service using AI to further develop digital transformation,https://www.emerald.com/insight/content/doi/10.1108/lht-07-2021-0242/full/html
3,Opportunities and Challenges in Using AI Chatbots in Higher Education,Germany,,,Opportunities and challenges in using AI-driven chatbots in higher education 1) to support the implementation of a simulation game in a master's program; 2) to support the training and use of a newly launched educational application; 3) to improve the handling of helpdesk requests within a university department,/,/,/,/,"Ai-driven chatbots to support new educational applications, the handling of helpdesk requests and using simulations in the master's program",https://dl.acm.org/doi/abs/10.1145/3371647.3371659
4,Artificial Intelligence in Higher Education: Challenges and Opportunities,Germany,,,"Opportunities and challenges of using AI in education were analyzed and the impact of new technologies on students' learning and institutions' teaching methods were discussed. How can AI be used to improve learning outcomes, make education systems more equitable and ensure quality education for all? ",/,"The paper analyses how AI can be used to improve learning outcomes, presenting examples of how AI technology can help education systems use data to improve equity and quality in Higher Education",/,/,/,https://www.researchgate.net/publication/359080609_Artificial_Intelligence_in_Higher_Education_Challenges_and_Opportunities 
5,HASKI,Germany,,,Development of a learning management system in which learning paths are created individually. The AI-supported software adapts the learning paths based on the activities of the learners and provides feedback. Teachers gain insight into learning activities and support in planning learning spaces.,/,"Das HASKI-Projekt beinhaltet drei zentrale Komponenten: das Domänenmodell, das Lernenden-Modell und das tutorielle Modell. Das Domänenmodell beschreibt den Lerninhalt und die Ziele des Projekts, während das Lernenden-Modell die individuellen Voraussetzungen, Lernstile und -strategien der Studierenden berücksichtigt. Das tutorielle Modell wiederum generiert personalisierte Lernpfade und Lernempfehlungen auf Basis der Daten aus dem Lernenden-Modell und dem Domänenmodell.",/,/,/,https://haski-learning.de/
6,USOS,Germany,,,USOS. Provision of a chatbot assistant for the study service of the TU Berlin.,/,/,/,/,AI chatbot support for any administartive or service related questions or problems,https://www.tu.berlin/qu/forschung/laufende-vergangene-projekte/laufende-projekte/usos-chatbot-basierte-unterstuetzung-der-selbstorganisation-im-studium
7,Artificial Intelligence and Education ,Germany,,," Assessment and critical reflection on the use of artificial intelligence in teaching, with a special focus on human rights, democracy and legislation, as well as the consequences of the use of AI in teaching.",/,"This AIED, which by definition is designed to influence child development, also impacts on critical issues such as privacy, agency and human dignity – all of which are yet to be fully explored and addressed",/,/,/,https://www.coe.int/en/web/education/-/new-isbn-publication-artificial-intelligence-and-education
8,KITE II,Germany,,,"The AI-supported application to be developed in the KITE II project is intended to support female founders in becoming more resilient in dealing with discriminatory experiences. The female founders are particularly sensitized to discriminatory structures. The application will use gamified elements to help strengthen resilience and impart knowledge, and the project will be supported and advised by an advisory board.",/,Ai supported gameification to help women starting buisnesses how to handle discrimination ,/,/,/,https://www.hs-heilbronn.de/de/kite-II
9,ELLIS,Germany,,,"The network is at the forefront of using artificial intelligence (AI) to tackle global environmental crises, like climate change and biodiversity loss. By using AI and machine learning, ELLIS researchers gain a deeper understanding of the interdependencies of Earth and climate. They are able to simulate scenarios for mitigating and adapting to the impacts of climate change.",/,/,Ai supported research hub to find connections between earth and climate. Next steps are tackling global enviromental crises ,/,/,https://www.uni-jena.de/en/159643/environmental-ai-and-machine-learning
10,One small part of many – AI for environmental protection,Germany,,,Review of different projects using AI to protect the enviroment.,/,/,Closer look at several projects all about different areas of AI usage in enviromental understanding and development. ,/,/,https://doi.org/10.5281/zenodo.13221001
